,name,rating,reviews,field,employees,ctype,old,location
2997,Danfoss Power Solutions,4.0,219,Power , 51-200 Employees , Nordborg +6 more,,
2998,TravelTriangle,3.6,219,Internet , 51-200 Employees , 13 years old , Noida +7 more,
2999,NVH India Auto Parts,3.6,219,Auto Components , 201-500 Employees , 39 years old , Buk-gu +9 more,
3000,Health India Tpa Services,3.4,219,Insurance , 51-200 Employees , 21 years old , Mumbai +27 more,
3001,New Opportunity Consultancy,4.2,219,Financial Services , 201-500 Employees , 8 years old , Navi Mumbai +87 more,
3002,LANXESS India Private Limited,4.2,219,Chemicals , 501-1k Employees , 19 years old , Cologne +15 more,
3003,BridgeLabz Solutions,3.5,219,EdTech , 201-500 Employees , Startup , 7 years old , Mumbai +9 more
3004,Ubisoft Entertainment,4.0,219,Gaming , 1k-5k Employees , 37 years old , Montreuil +5 more,
3005,Aliens Group,3.8,219,Real Estate , 501-1k Employees , 19 years old , Hyderabad/Secunderabad +4 more,
3006,Globtier Infotech,3.6,219,IT Services & Consulting , 1k-5k Employees , 18 years old , Noida +33 more,
3007,New Holland Fiat (India),4.3,219,Auto Components , 501-1k Employees , 25 years old , Delhi/NCR +36 more,
3008,VGN Projects Estates,4.3,219,Real Estate , 1k-5k Employees , 81 years old , Chennai +4 more,
3009,Walplast Products,4.0,218,Engineering & Construction , 201-500 Employees , 19 years old , Navi Mumbai +35 more,
3010,Technicolor,4.0,218,Animation & VFX , 5k-10k Employees , 130 years old , Paris +6 more,
3011,Servion Global Solutions,3.8,218,IT Services & Consulting , 1k-5k Employees , 28 years old , New Jersey +12 more,
3012,Hofincons Infotech & Industrial Services,3.9,218,Industrial Machinery , 501-1k Employees , Chennai +37 more,,
3013,ProConnect Integrated Logistics,4.0,218,Logistics , 51-200 Employees , 11 years old , Chennai +39 more,
3014,MapmyIndia,3.8,218,Software Product , 201-500 Employees , Public , 31 years old , Delhi +5 more
3015,The Louis Berger Group,4.3,218,Engineering & Construction , 10k-50k Employees , 138 years old , Montreal +30 more,
3016,TransUnion,4.2,218,Financial Services , 501-1k Employees , Forbes Global 2000 , 55 years old , Chicago +5 more
3017,Associated Road Carriers,4.1,218,Urban Transport , 1k-5k Employees , 51 years old , Hyderabad/Secunderabad +52 more,
3018,Manipal Technologies,3.8,218,Printing & Publishing , 1k-5k Employees , 82 years old , Manipal +23 more,
3019,Harsha Engineers,4.1,218,Industrial Machinery , 501-1k Employees , 37 years old , Ahmedabad +6 more,
3020,CESC,3.8,218,Power , 5k-10k Employees , Public , 124 years old , Kolkata +14 more
3021,Cactus Communications,3.6,218,Software Product , 1k-5k Employees , 21 years old , Mumbai +10 more,
3022,Algonomy,3.8,218,Software Product , 201-500 Employees , 19 years old , Bangalore +9 more,
3023,Stovekraft,3.7,218,Consumer Electronics & Appliances , 1k-5k Employees , 29 years old , Bangalore/Bengaluru +33 more,
3024,Examity,3.4,218,EdTech , 201-500 Employees (Global) , Startup , 10 years old , Needham +4 more
3025,McNROE,3.8,218,FMCG , 501-1k Employees , 37 years old , Kolkata +41 more,
3026,Sureti Insurance Marketing,4.3,218,Insurance , 51-200 Employees , Coimbatore +3 more,,
3027,Arzooo.com,2.7,218,Internet , 51-200 Employees , Startup , 7 years old , Bangalore +34 more
3028,Ajio Business,3.5,218,Mumbai +84 more,,,,
3029,Allanasons,3.9,218,Food Processing , 1k-5k Employees , 158 years old , Mumbai +24 more,
3030,Vindhya e-Info Media,3.7,218,BPO , 1k-5k Employees , 17 years old , Bangalore/Bengaluru +11 more,
3031,MMC Infotech Services,3.4,217,IT Services & Consulting , 201-500 Employees , 33 years old , Chennai +5 more,
3032,Thomson Digital,4.0,217,Printing & Publishing , 201-500 Employees , 61 years old , Noida +7 more,
